Program Code,Program Name,College Code
BSCS,Bachelor of Science in Computer Sciences,CCA
BSCA,Bachelor Of Science in Computer Applications,CCA
BSIT,Bachelor Of Science in Information Technology,CCA
BSIS,Bachelor Of Science in Information Systems,CCA
BAELS,Bachelor Of Arts In English,CASS
BSP,Bachelor Of Science In Psychology,CASS
BAF,Bachelor Of Arts In Filipino,CASS
BAH,Bachelor Of Arts In History,CASS
BAPS,Bachelor Of Arts In Political Science,CASS
BSCE,Bachelor Of Science In Civil Engineering,COET
BSCeE,Bachelor Of Science In Ceramics Engineering,COET
BSChE,Bachelor Of Science In Chemical Engineering,COET
BSCpE,Bachelor Of Science In Computer Engineering,COET
BSEcE,Bachelor Of Science In Electronics & Communications Engineering,COET
BSEE,Bachelor Of Science In Electrical Engineering,COET
BSMnE,Bachelor Of Science In Mining Engineering,COET
BSET,Bachelor Of Science In Environmental Engineering Technology,COET
BSME,Bachelor Of Science In Mechanical Engineering,COET
BSMtE,Bachelor Of Science Metallurgical Engineering,COET
BSBb,Bachelor Of Science In Biology (Botany),CSM
BSC,Bachelor Of Science In Chemistry,CSM
BSM,Bachelor Of Science In Mathematics,CSM
BSPh,Bachelor Of Science In Physics,CSM
BSBz,Bachelor Of Science In Biology (Zoology),CSM
BSBm,Bachelor Of Science In Biology (Marine),CSM
BSBg,Bachelor Of Science In Biology (General),CSM
BSS,Bachelor Of Science In Statistics,CSM
BSeB,Bachelor Of Secondary Education (Biology),CED
BSeIE,Bachelor Of Science In Industrial Education (Drafting),CED
BSeC,Bachelor Of Secondary Education (Chemistry),CED
BSeP,Bachelor Of Secondary Education (Physics),CED
BSeM,Bachelor Of Secondary Education (Mathematics),CED
BSeMa,Bachelor Of Secondary Education (Mapeh),CED
BSeT,Bachelor Of Secondary Education (Tle),CED
BSeG,Bachelor Of Secondary Education (General Science),CED
BEeE,Bachelor Of Elementary Education (English),CED
BEeSH,Bachelor Of Elementary Education (Science And Health),CED
BSTeI,Bachelor Of Science In Technology Teacher Education (Industrial Tech),CED
BSTeD,Bachelor Of Science In Technology Teacher Education (Drafting Tech),CED
BSBAb,Bachelor Of Science In Business Administration (Business Economics),CBAA
BSBAe,Bachelor Of Science In Business Administration (Economics),CBAA
BSBAm,Bachelor Of Science In Business Administration (Entrepreneurial Marketing),CBAA
BSHRM,Bachelor Of Science In Hotel And Restaurant Management,CBAA
BSAc,Bachelor Of Science In Accountancy,CBAA
BSN,Bachelor Of Science In Nursing,CHS
